% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:39
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(xi)
9.131668410540209E-5      1.5921060794094244E-11
9.148675298219686E-5      1.5895361017746267E-11
9.165682185899162E-5      1.5869635020078305E-11
9.182689073578638E-5      1.5843882801090353E-11
9.199695961258116E-5      1.5818104681840837E-11
9.216702848937591E-5      1.5792301184706773E-11
9.233709736617066E-5      1.5766472309688146E-11
9.250716624296544E-5      1.5740618056784964E-11
9.267723511976019E-5      1.5714738425997225E-11
9.284730399655495E-5      1.5688833417324928E-11
9.301737287334972E-5      1.5662903361741352E-11
9.31874417501445E-5       1.5636948806672885E-11
9.335751062693924E-5      1.5610969752119528E-11
9.3527579503734E-5        1.5584966198081277E-11
9.369764838052876E-5      1.5558938144558136E-11
9.386771725732352E-5      1.5532885591550103E-11
9.403778613411829E-5      1.5506808883846846E-11
9.420785501091305E-5      1.54807085946882E-11
9.43779238877078E-5       1.5454584724074164E-11
9.454799276450256E-5      1.542843727200474E-11
9.471806164129733E-5      1.5402266238479924E-11
9.488813051809209E-5      1.5376071623499723E-11
9.505819939488686E-5      1.53498537903678E-11
9.522826827168162E-5      1.532361333762334E-11
9.539833714847638E-5      1.5297350265266347E-11
9.556840602527113E-5      1.527106457329682E-11
9.57384749020659E-5       1.524475626171476E-11
9.590854377886066E-5      1.5218425330520166E-11
9.607861265565543E-5      1.5192072166611047E-11
9.62486815324502E-5       1.5165697391391847E-11
9.641875040924495E-5      1.513930100486255E-11
9.658881928603972E-5      1.511288300702317E-11
9.675888816283448E-5      1.5086443397873705E-11
