% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:08
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
1.7547974413646055E-4     3.632078276276324E-11
1.7590618336886993E-4     3.6083016126673117E-11
1.763326226012793E-4      3.584574461606421E-11
1.767590618336887E-4      3.5608968230936515E-11
1.7718550106609807E-4     3.5372686971290025E-11
1.7761194029850745E-4     3.513690083712475E-11
1.7803837953091683E-4     3.4901627164072754E-11
1.784648187633262E-4      3.4666881955812184E-11
1.788912579957356E-4      3.4432665212343026E-11
1.7931769722814497E-4     3.419897693366529E-11
1.7974413646055436E-4     3.396581711977899E-11
1.8017057569296374E-4     3.373318577068409E-11
1.8059701492537312E-4     3.350108288638063E-11
1.810234541577825E-4      3.3269525369334084E-11
1.8144989339019188E-4     3.3038528667052366E-11
1.8187633262260126E-4     3.280809277953546E-11
1.8230277185501064E-4     3.2578217706783386E-11
1.8272921108742002E-4     3.234890344879614E-11
1.831556503198294E-4      3.21201500055737E-11
1.8358208955223879E-4     3.189195737711609E-11
1.8400852878464817E-4     3.1664342007445514E-11
1.8443496801705755E-4     3.143731876524342E-11
1.8486140724946693E-4     3.1210887650509816E-11
1.852878464818763E-4      3.098504866324471E-11
1.857142857142857E-4      3.0759801803448103E-11
1.8614072494669507E-4     3.053514707111998E-11
1.8656716417910445E-4     3.0311084466260355E-11
1.8699360341151383E-4     3.008762994978076E-11
1.8742004264392321E-4     2.986479778962607E-11
1.878464818763326E-4      2.964258798579626E-11
1.8827292110874198E-4     2.9421000538291347E-11
1.8869936034115136E-4     2.920003544711134E-11
1.8912579957356074E-4     2.8979692712256222E-11
1.8955223880597012E-4     2.8759972333726E-11
1.899786780383795E-4      2.8540889765295966E-11
1.904051172707889E-4      2.8322458653035648E-11
1.9083155650319826E-4     2.8104678996945023E-11
1.9125799573560764E-4     2.788755079702412E-11
1.9168443496801702E-4     2.7671074053272938E-11
1.9211087420042643E-4     2.7455248765691445E-11
1.9253731343283581E-4     2.7240074934279672E-11
1.929637526652452E-4      2.7025567482322365E-11
1.9339019189765455E-4     2.6811739413671698E-11
1.9381663113006393E-4     2.6598590728327664E-11
1.942430703624733E-4      2.638612142629027E-11
1.9466950959488272E-4     2.6174331507559524E-11
1.9509594882729207E-4     2.5963220972135398E-11
1.9552238805970145E-4     2.575278982001792E-11
1.9594882729211084E-4     2.554305242134751E-11
1.9637526652452024E-4     2.53340211182374E-11
1.968017057569296E-4      2.5125695910687598E-11
1.97228144989339E-4       2.49180767986981E-11
1.9765458422174841E-4     2.471116378226891E-11
1.980810234541578E-4      2.450495686140002E-11
1.9850746268656718E-4     2.4299456036091437E-11
1.9893390191897656E-4     2.4094675101411905E-11
1.9936034115138594E-4     2.3890625719057334E-11
1.9978678038379532E-4     2.3687307889027712E-11
2.002132196162047E-4      2.348472161132305E-11
2.0063965884861408E-4     2.3282866885943348E-11
2.0106609808102346E-4     2.3081743712888593E-11
